city,rating,average_temp,terrain
João Alfredo,5,26,rural
Ravne,4,21,city
Okhtyrka,5,52,rural
Fuli,4,59,rural
Leramatang,1,50,city
Rizal,1,59,rural
Korniyivka,4,40,rural
Roriz,1,26,rural
Enschede,1,80,city
Linköping,2,69,city
Shawnee Mission,2,44,rural
Qigzhi,3,36,rural
Dake,1,21,beach
Cipadung Timur,2,47,city
Cholet,5,27,beach
Salitrillos,1,77,beach
Cigaleuh Kulon,5,20,city
Kalasin,5,66,city
Hikari,4,61,beach
Miskindzha,1,41,rural
Goodlands,4,45,beach
Yingdianjie,5,48,rural
Krzyżowice,4,40,rural
Brak,2,36,city
Krajan,1,60,rural
Guan’e,5,76,rural
Samoš,4,65,rural
Sanqishi,5,70,beach
Manaus,4,43,beach
Barra do Corda,2,60,city
Lomé,1,80,city
Kunčice pod Ondřejníkem,1,66,beach
Tafraout,1,31,city
Petrolera,2,76,beach
Täby,1,30,rural
Majagual,2,20,beach
Independencia,3,46,beach
Huangjia,3,21,beach
Gharavŭtí,3,80,beach
Ganyesa,4,31,beach
Minato,3,55,rural
Talodi,2,48,rural
Druzhba,4,67,beach
Anchorage,1,42,beach
Banjar Danginsema,5,32,city
Misau,1,44,beach
Jinhe,3,21,rural
Rodez,3,72,beach
Yogyakarta,1,63,beach
Sandnes,3,42,rural
Sanxi,1,31,city
Wenquan,5,62,rural
Sokarame,4,77,beach
Stockholm,5,27,city
Turba,5,77,beach
Moravče,3,79,city
Huangqiao,3,57,beach
Nîmes,4,29,city
La Suiza,4,23,city
Čajetina,1,32,rural
Tuamese,2,67,city
Saint Paul,5,79,rural
Wasilków,1,71,rural
Zhuangxing,5,54,beach
Los Algarrobos,5,72,city
Cidima,4,56,rural
Outlook,3,79,beach
Otacílio Costa,1,56,beach
Tambov,4,59,city
Oslo,2,75,rural
Shangcunba,2,59,city
Vil’nyans’k,4,74,beach
Checun,2,50,beach
Ciengang,5,78,beach
Tibakisa,2,24,city
